Country,Continent,Leisure,Work,Size
Argentina,Americas,37.75,81.45,1
Australia,Oceania,61.1,60.05,1
Armenia,Asia,30.9,76.85,1
Brazil,Americas,66.85,91.1,1
Chile,Americas,56.65,74.95,1
China,Asia,8.35,73.75,1
Colombia,Americas,57.75,84.8,1
Estonia,Europe,34.85,71.5,1
India,Asia,-18.4,88.4,1
Japan,Asia,59.35,65,1
South Korea,Asia,46.6,69.6,1
Mexico,Americas,38.65,73.6,1
New Zealand,Oceania,62.75,59.3,1
Poland,Europe,39.7,74.65,1
Romania,Europe,34.05,72.55,1
Russia,Europe,32.05,54.55,1
Slovenia,Europe,43.25,70.85,1
South Africa,Africa,33.85,82.4,1
Spain,Europe,47.1,67.9,1
Sweden,Europe,70,75.65,1
Turkey,Asia,47.65,82.6,1
United States,Americas,59,60.9,1
Uruguay,Europe,61.05,79.75,1
